Restaurant,Chef(s),Cuisine,Location,FirstStar,SecondStar,ThirdStar,Current,ZipCode
Chef's Table at Brooklyn Fare,Cesar Ramirez,"Seafood, Omakase-style",New York City,,2011,2012-2022,,10018
Daniel,Daniel Boulud,French,New York City,,"2006-2010, 2016-present",2011-2015,2,10065
Jean-Georges,Mark LaPico,French,New York City,,2018-present,2006-2017,2,10023
Saison,Richard Lee,New American,San Francisco,2011,"2012-2014, 2019-2023",2015-2018,2,94107
Alinea,"Grant Achatz, Doug Alley",Molecular Gastronomy,Chicago,,,2011-present,3,60614,
SingleThread,Kyle Connaughton,Japanese and New American,"Healdsburg, California",,2018,2019-present,3,95448
Le Bernardin,"Eric Ripert,Chris Muller,Eric Gestel",French,New York City,,,2006-present,3,10019
Per Se,"Thomas Keller, Corey Chow",New American,New York City,,,2006-present,3,10019
Masa,Masa Takayama,Japanese and sushi,New York City,,2006-2008,2009-present,3,10019
Eleven Madison Park,"Daniel Humm, Brian Lockwood",Plant-based Contemporary American,New York City,2010-2011,,2012-present,3,10010
Addison,William Bradley,California,San Diego,2019,2021,2022-present,3,92130
Atelier Crenn,Dominique Crenn,French,San Francisco,2012,2013-2018,2019-present,3,94123
Benu,"Corey Lee, Brandon Rodgers",Asian-inspired New American,San Francisco,,2012-2014,2015-present,3,94105
Quince,"Michael Tusk, Neil Stetz",Contemporary Californian & Italian,San Francisco,2006-2013,2014-2016,2017-present,3,94133
The Inn at Little Washington,Patrick O'Connell,Nouveau American,"Washington, Virginia",,2017-2018,2019-present,3,22747
The French Laundry,"Thomas Keller, David Breeden",French with California influences,"Yountville, California",,,2007-present,3,94599
Smyth,John Shields,Contemporary,Chicago,2017,2018-2022,2023,3,60607